data,pubblicazione,url,fascia,vaccino,popolazione,diagnosi,ricoveri,intensive,decessi,popolazione_giorno,diagnosi_start,diagnosi_end,ricoveri_start,ricoveri_end,intensive_start,intensive_end,decessi_start,decessi_end,totale,percentuale_popolazione,percentuale_diagnosi,percentuale_ricoveri,percentuale_intensive,percentuale_decessi
2021-10-27,2021-10-29,https://www.epicentro.iss.it/coronavirus/bollettino/Bollettino-sorveglianza-integrata-COVID-19_27-ottobre-2021.pdf,12-39,vaccinati incompleto,1588270,1725,38,3,3,2021-10-09,2021-09-24,2021-10-24,2021-09-17,2021-10-17,2021-09-17,2021-10-17,2021-09-03,2021-10-03,17435555,0.09109374493671123,0.0010860873780906269,2.3925403111561637e-05,1.8888476140706554e-06,1.8888476140706554e-06
2021-10-27,2021-10-29,https://www.epicentro.iss.it/coronavirus/bollettino/Bollettino-sorveglianza-integrata-COVID-19_27-ottobre-2021.pdf,12-39,vaccinati completo,11715686,8300,79,0,1,2021-10-09,2021-09-24,2021-10-24,2021-09-17,2021-10-17,2021-09-17,2021-10-17,2021-09-03,2021-10-03,17435555,0.6719422467480961,0.000708451899444898,6.743096392306861e-06,0.0,8.535565053552989e-08
2021-10-27,2021-10-29,https://www.epicentro.iss.it/coronavirus/bollettino/Bollettino-sorveglianza-integrata-COVID-19_27-ottobre-2021.pdf,40-59,non vaccinati,3459567,12266,989,111,58,2021-10-09,2021-09-24,2021-10-24,2021-09-17,2021-10-17,2021-09-17,2021-10-17,2021-09-03,2021-10-03,18438105,0.1876313753501241,0.003545530408863306,0.0002858739258410084,3.208494010955706e-05,1.6765103841029816e-05
2021-10-27,2021-10-29,https://www.epicentro.iss.it/coronavirus/bollettino/Bollettino-sorveglianza-integrata-COVID-19_27-ottobre-2021.pdf,40-59,vaccinati incompleto,875355,1176,42,4,2,2021-10-09,2021-09-24,2021-10-24,2021-09-17,2021-10-17,2021-09-17,2021-10-17,2021-09-03,2021-10-03,18438105,0.047475323521587495,0.0013434549411381668,4.798053361207739e-05,4.569574629721656e-06,2.284787314860828e-06
2021-10-27,2021-10-29,https://www.epicentro.iss.it/coronavirus/bollettino/Bollettino-sorveglianza-integrata-COVID-19_27-ottobre-2021.pdf,40-59,vaccinati completo,14103183,12623,192,16,10,2021-10-09,2021-09-24,2021-10-24,2021-09-17,2021-10-17,2021-09-17,2021-10-17,2021-09-03,2021-10-03,18438105,0.7648933011282883,0.0008950461750372239,1.3613948000249305e-05,1.134495666687442e-06,7.090597916796514e-07
2021-10-27,2021-10-29,https://www.epicentro.iss.it/coronavirus/bollettino/Bollettino-sorveglianza-integrata-COVID-19_27-ottobre-2021.pdf,60-79,non vaccinati,1399821,4207,910,170,222,2021-10-09,2021-09-24,2021-10-24,2021-09-17,2021-10-17,2021-09-17,2021-10-17,2021-09-03,2021-10-03,13572779,0.10313444284328213,0.0030053842598446517,0.0006500831177700578,0.00012144409892407672,0.0001585917056537943
2021-10-27,2021-10-29,https://www.epicentro.iss.it/coronavirus/bollettino/Bollettino-sorveglianza-integrata-COVID-19_27-ottobre-2021.pdf,60-79,vaccinati incompleto,304769,426,52,6,13,2021-10-09,2021-09-24,2021-10-24,2021-09-17,2021-10-17,2021-09-17,2021-10-17,2021-09-03,2021-10-03,13572779,0.02245442882404554,0.0013977799579353543,0.00017062102772919817,1.968704166106133e-05,4.2655256932299544e-05
2021-10-27,2021-10-29,https://www.epicentro.iss.it/coronavirus/bollettino/Bollettino-sorveglianza-integrata-COVID-19_27-ottobre-2021.pdf,60-79,vaccinati completo,11868189,9175,650,67,113,2021-10-09,2021-09-24,2021-10-24,2021-09-17,2021-10-17,2021-09-17,2021-10-17,2021-09-03,2021-10-03,13572779,0.8744111283326723,0.0007730749822066366,5.4768254870224936e-05,5.645343194315493e-06,9.521250462054489e-06
2021-10-27,2021-10-29,https://www.epicentro.iss.it/coronavirus/bollettino/Bollettino-sorveglianza-integrata-COVID-19_27-ottobre-2021.pdf,80+,non vaccinati,240500,941,389,20,227,2021-10-09,2021-09-24,2021-10-24,2021-09-17,2021-10-17,2021-09-17,2021-10-17,2021-09-03,2021-10-03,4563500,0.05270077791169059,0.003912681912681913,0.0016174636174636175,8.316008316008316e-05,0.0009438669438669438
2021-10-27,2021-10-29,https://www.epicentro.iss.it/coronavirus/bollettino/Bollettino-sorveglianza-integrata-COVID-19_27-ottobre-2021.pdf,80+,vaccinati incompleto,94801,94,39,1,22,2021-10-09,2021-09-24,2021-10-24,2021-09-17,2021-10-17,2021-09-17,2021-10-17,2021-09-03,2021-10-03,4563500,0.020773748219568313,0.0009915507220387971,0.00041138806552673497,1.0548411936582948e-05,0.00023206506260482486
